NTAName,NTA2020,BoroName,BoroCD,Pop_Total,Num_65+,Percent_65+,Percent_65+_Below_Poverty,Percent_Hispanic,Percent_white,Percent_Black,Percent_Asian,Percent_Other,
New Dorp-Midland Beach,SI45,Staten Isla,502,"20,933","3,205",15.3,7.4,15.1,73.9,3.5,6.7,0.8%,
Arden Heights,SI48,Staten Isla,503,"26,982","3,990",14.8,9.7,13.4,77.5,1.6,6.1,1.4%,
Great Kills,SI54,Staten Isla,503,"42,306","7,499",17.7,10.7,9.4,83.5,0.9,5.2,0.9%,
park-cemetery-etc-Staten Island,SI99,Staten Isla,595,-,-,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
