GEO_ID,NAME,B19013_001E,B19013_001EA,B19013_001M,B19013_001MA
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)
1400000US36005030000,"Census Tract 300, Bronx County, New York",70017,null,13742,null
1400000US36005030100,"Census Tract 301, Bronx County, New York",72250,null,27431,null
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",55145,null,14925,null
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",65729,null,6294,null
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",129175,null,31013,null
1400000US36005030900,"Census Tract 309, Bronx County, New York",96250,null,43536,null
1400000US36005031000,"Census Tract 310, Bronx County, New York",100508,null,13607,null
1400000US36005031200,"Census Tract 312, Bronx County, New York",94250,null,20947,null
1400000US36005031400,"Census Tract 314, Bronx County, New York",90333,null,20094,null
1400000US36005031600,"Census Tract 316, Bronx County, New York",76765,null,25393,null
1400000US36005031800,"Census Tract 318, Bronx County, New York",135046,null,32402,null
1400000US36005031900,"Census Tract 319, Bronx County, New York",-,-,**,**
1400000US36005032300,"Census Tract 323, Bronx County, New York",86069,null,10642,null
1400000US36005032400,"Census Tract 324, Bronx County, New York",22041,null,9764,null
1400000US36005032600,"Census Tract 326, Bronx County, New York",94359,null,6146,null
1400000US36005032800,"Census Tract 328, Bronx County, New York",40984,null,12428,null
1400000US36005033000,"Census Tract 330, Bronx County, New York",40977,null,7122,null
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",31125,null,12676,null
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",41914,null,10722,null
1400000US36005033400,"Census Tract 334, Bronx County, New York",-,-,**,**
1400000US36005033500,"Census Tract 335, Bronx County, New York",119219,null,31180,null
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",41411,null,8701,null
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",51400,null,20906,null
1400000US36005033700,"Census Tract 337, Bronx County, New York",107908,null,20301,null
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",62141,null,8461,null
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",50239,null,19433,null
1400000US36005034000,"Census Tract 340, Bronx County, New York",58117,null,6745,null
1400000US36005034200,"Census Tract 342, Bronx County, New York",62065,null,15292,null
1400000US36005034300,"Census Tract 343, Bronx County, New York",79032,null,4608,null
1400000US36005034400,"Census Tract 344, Bronx County, New York",62589,null,21932,null
1400000US36005034500,"Census Tract 345, Bronx County, New York",92321,null,28593,null
1400000US36005034800,"Census Tract 348, Bronx County, New York",42807,null,14660,null
1400000US36005035000,"Census Tract 350, Bronx County, New York",71477,null,24254,null
1400000US36005035100,"Census Tract 351, Bronx County, New York",81250,null,19052,null
1400000US36005035600,"Census Tract 356, Bronx County, New York",88348,null,27728,null
1400000US36005035800,"Census Tract 358, Bronx County, New York",72553,null,16807,null
1400000US36005035900,"Census Tract 359, Bronx County, New York",26619,null,6872,null
1400000US36005036000,"Census Tract 360, Bronx County, New York",79375,null,14135,null
1400000US36005036100,"Census Tract 361, Bronx County, New York",20079,null,7783,null
1400000US36005036300,"Census Tract 363, Bronx County, New York",23257,null,3965,null
1400000US36005036400,"Census Tract 364, Bronx County, New York",61000,null,30873,null
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",35882,null,7047,null
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",28333,null,10265,null
1400000US36005036700,"Census Tract 367, Bronx County, New York",27375,null,11456,null
1400000US36005036800,"Census Tract 368, Bronx County, New York",67794,null,21370,null
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",22556,null,10798,null
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",16310,null,4049,null
1400000US36005037000,"Census Tract 370, Bronx County, New York",73704,null,10758,null
1400000US36005037100,"Census Tract 371, Bronx County, New York",22689,null,7231,null
1400000US36005037200,"Census Tract 372, Bronx County, New York",46938,null,18866,null
1400000US36005037300,"Census Tract 373, Bronx County, New York",28083,null,20379,null
1400000US36005037400,"Census Tract 374, Bronx County, New York",31543,null,10052,null
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",25069,null,8080,null
1400000US36005037600,"Census Tract 376, Bronx County, New York",62686,null,11275,null
1400000US36005037800,"Census Tract 378, Bronx County, New York",41862,null,14145,null
1400000US36005037900,"Census Tract 379, Bronx County, New York",29773,null,7262,null
1400000US36005038000,"Census Tract 380, Bronx County, New York",37361,null,5569,null
1400000US36005038100,"Census Tract 381, Bronx County, New York",43381,null,14106,null
1400000US36005038200,"Census Tract 382, Bronx County, New York",42557,null,16564,null
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",45347,null,7571,null
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",20000,null,3643,null
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",12948,null,12317,null
1400000US36005038500,"Census Tract 385, Bronx County, New York",21606,null,5001,null
1400000US36005038600,"Census Tract 386, Bronx County, New York",60723,null,16324,null
1400000US36005038700,"Census Tract 387, Bronx County, New York",38836,null,6475,null
1400000US36005038800,"Census Tract 388, Bronx County, New York",67128,null,11883,null
1400000US36005038900,"Census Tract 389, Bronx County, New York",36866,null,9429,null
1400000US36005039000,"Census Tract 390, Bronx County, New York",48668,null,10347,null
1400000US36005039100,"Census Tract 391, Bronx County, New York",30923,null,18890,null
1400000US36005039200,"Census Tract 392, Bronx County, New York",51117,null,9710,null
1400000US36005039300,"Census Tract 393, Bronx County, New York",21073,null,6734,null
1400000US36005039400,"Census Tract 394, Bronx County, New York",56182,null,13049,null
1400000US36005039500,"Census Tract 395, Bronx County, New York",25000,null,15941,null
1400000US36005039600,"Census Tract 396, Bronx County, New York",43003,null,10206,null
1400000US36005039700,"Census Tract 397, Bronx County, New York",32619,null,14213,null
1400000US36005039800,"Census Tract 398, Bronx County, New York",52449,null,15955,null
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",36847,null,4412,null
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",43110,null,4564,null
1400000US36005040100,"Census Tract 401, Bronx County, New York",26306,null,5819,null
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",32345,null,11851,null
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",37541,null,6102,null
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",30523,null,13752,null
1400000US36005040400,"Census Tract 404, Bronx County, New York",89211,null,16665,null
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",38456,null,9186,null
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",46058,null,5497,null
1400000US36005040600,"Census Tract 406, Bronx County, New York",42039,null,7738,null
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",42734,null,13473,null
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",30417,null,7562,null
1400000US36005040800,"Census Tract 408, Bronx County, New York",32917,null,14277,null
1400000US36005040900,"Census Tract 409, Bronx County, New York",62411,null,13456,null
1400000US36005041100,"Census Tract 411, Bronx County, New York",38277,null,4189,null
1400000US36005041300,"Census Tract 413, Bronx County, New York",58095,null,7834,null
1400000US36005041400,"Census Tract 414, Bronx County, New York",53558,null,7161,null
1400000US36005041500,"Census Tract 415, Bronx County, New York",43810,null,14557,null
1400000US36005041800,"Census Tract 418, Bronx County, New York",52396,null,22461,null
1400000US36005041900,"Census Tract 419, Bronx County, New York",34290,null,5954,null
1400000US36005042000,"Census Tract 420, Bronx County, New York",31071,null,13073,null
1400000US36005042100,"Census Tract 421, Bronx County, New York",41585,null,10016,null
1400000US36005042200,"Census Tract 422, Bronx County, New York",54712,null,22269,null
1400000US36005042300,"Census Tract 423, Bronx County, New York",46432,null,7850,null
1400000US36005042400,"Census Tract 424, Bronx County, New York",80714,null,11776,null
1400000US36005042500,"Census Tract 425, Bronx County, New York",37642,null,10490,null
1400000US36005042600,"Census Tract 426, Bronx County, New York",95422,null,21790,null
1400000US36005042800,"Census Tract 428, Bronx County, New York",95096,null,32468,null
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",31771,null,21457,null
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",38816,null,10408,null
1400000US36005043000,"Census Tract 430, Bronx County, New York",66890,null,30002,null
1400000US36005043101,"Census Tract 431.01, Bronx County, New York",35326,null,6469,null
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",29962,null,6400,null
1400000US36005043400,"Census Tract 434, Bronx County, New York",72917,null,22711,null
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",32500,null,10077,null
1400000US36005043502,"Census Tract 435.02, Bronx County, New York",-,-,**,**
1400000US36005043503,"Census Tract 435.03, Bronx County, New York",-,-,**,**
1400000US36005043600,"Census Tract 436, Bronx County, New York",70761,null,17662,null
1400000US36005044200,"Census Tract 442, Bronx County, New York",37423,null,32297,null
1400000US36005044400,"Census Tract 444, Bronx County, New York",75679,null,16692,null
